id,text,viewCount,likeCount,url,topic,probability,topic_repr
1970330163209789748,＼絶賛発売中‼️／#GoodsPress 10月号連載一周年を記念してリバーシブル表紙に登場いただいた乃木坂46・冨里奈央さん！今回は、その表紙に使用したお写真をお届けします📸📘 本編は10月号をチェック！🔗  #グッズプレス ＃乃木坂46 ＃冨里奈央 ＃NAOGRAPHIC,50307,2305,https://x.com/GoodsPress/status/1970330163209789748,1,1.0,1_乃木坂46_乃木坂スター誕生_5期生_購入はこちら
1967592475046097140,色んな想いの人がいると思うけど、自分はアイドルが好きなんじゃなくて乃木坂46が大好き ,243350,4181,https://x.com/ikuma_nogi/status/1967592475046097140,0,0.9556800695972477,0_久保史緒里_ブログ更新_乃木坂46_6期生リレー
1969265264924532742,乃木坂46×So-netコラボキャンペーンサイトでは、CM撮影時のオフショットやメンバーからの裏話なども公開中❤️‍🔥こちらからご覧ください！ ,205970,6042,https://x.com/Sonet_fukuonsei/status/1969265264924532742,0,0.6401995097047555,0_久保史緒里_ブログ更新_乃木坂46_6期生リレー
1968646188762316907,次回の #乃木坂あそぶだけ は...NOGIZAKA ROOM SHARE 🏠** ┈┈┈┈┈┈┈**乃木坂46が、ひとつ屋根の下で“何をしてもいい”自由な時間を与えられたら？今回は5期生11名が登場 🍉☀️近日公開☀️お楽しみに！#乃木坂46#のぎ動画 ,568518,6838,https://x.com/nogidoga46/status/1968646188762316907,2,0.8802269137001852,2_今日は何の日_遠藤さくら_9月18日の乃木坂46_賀喜遥香
1970146155725312331,【今日は何の日】9月23日の乃木坂46 ,895,22,https://x.com/nogizaka46or/status/1970146155725312331,2,1.0,2_今日は何の日_遠藤さくら_9月18日の乃木坂46_賀喜遥香
1970470793953059294,【卒業企画実行委員募集開始】久保史緒里さんの乃木坂46ご卒業お祝い企画の実行委員を募集いたします。入会希望、ご質問がある方はDMをよろしくお願いいたします！🔖•募集期間：2025年10月31日(金)まで未開拓の地へ歩み出す久保ちゃんを盛大に送り出しましょう！🩵💛#乃木坂46 #久保史緒里 ,2945,114,https://x.com/shiorikubo_0714/status/1970470793953059294,0,1.0,0_久保史緒里_ブログ更新_乃木坂46_6期生リレー
1969959844456316980,＼ 毎週更新! 解説動画 ／乃木坂46×So-netコラボキャンペーンの魅力を毎週詳しくお届け！9月のアンバサダーは賀喜遥香さん！賀喜さんがコラボキャンペーンの中身を毎週とことん解説します✨今週はみなさんの「想像力」が必要な紹介動画です🤭 ,25535,1602,https://x.com/Sonet_fukuonsei/status/1969959844456316980,0,0.7099293371223568,0_久保史緒里_ブログ更新_乃木坂46_6期生リレー
1968508525958541617,【元乃木坂46】秋元真夏ちゃん気に入ったらRT＆いいね!!#秋元真夏 #乃木坂46 ,5025,31,https://x.com/xpsww144/status/1968508525958541617,3,1.0,3_乃木坂46_白石麻衣_今日は何の日_いいね
1970167346246631856,元乃木坂46の山下美月さん色気が凄い,211154,2297,https://x.com/veyjuslauva1985/status/1970167346246631856,0,0.9430091912265813,0_久保史緒里_ブログ更新_乃木坂46_6期生リレー
1969802197136535712,うなぎ和ちゃん、美月と同じタイプの瀬戸口心月ちゃんかわええ。笑#乃木坂工事中#井上和 #奥田いろは#瀬戸口心月 乃木坂46 ,22232,114,https://x.com/tokeice1/status/1969802197136535712,0,0.9228519370873497,0_久保史緒里_ブログ更新_乃木坂46_6期生リレー
